CodePoint,LongName
0xF816,\[FormalW]
0xF817,\[FormalX]
0xF861,\[FormalXi]
0xF818,\[FormalY]
0xF819,\[FormalZ]
0xF859,\[FormalZeta]
0xF721,\[FreakedSmiley]
0xF351,\[FreeformPrompt]
0xF4A1,\[Function]
0x03B3,\[Gamma]
0x264A,\[GeminiSign]
0x2137,\[Gimel]
0xF6CC,\[GothicA]
0xF6CD,\[GothicB]
0xF6CE,\[GothicC]
0xF78A,\[GothicCapitalA]
0xF78B,\[GothicCapitalB]
0x212D,\[GothicCapitalC]
0xF78D,\[GothicCapitalD]
0xF78E,\[GothicCapitalE]
0xF78F,\[GothicCapitalF]
0xF790,\[GothicCapitalG]
0x210C,\[GothicCapitalH]
0x2111,\[GothicCapitalI]
0xF793,\[GothicCapitalJ]
0xF794,\[GothicCapitalK]
0xF795,\[GothicCapitalL]
0xF796,\[GothicCapitalM]
0xF797,\[GothicCapitalN]
0xF798,\[GothicCapitalO]
0xF799,\[GothicCapitalP]
0xF79A,\[GothicCapitalQ]
0x211C,\[GothicCapitalR]
0xF79C,\[GothicCapitalS]
0xF79D,\[GothicCapitalT]
0xF79E,\[GothicCapitalU]
0xF79F,\[GothicCapitalV]
0xF7A0,\[GothicCapitalW]
0xF7A1,\[GothicCapitalX]
0xF7A2,\[GothicCapitalY]
0x2128,\[GothicCapitalZ]
0xF6CF,\[GothicD]
0xF6D0,\[GothicE]
0xF7ED,\[GothicEight]
0xF6D1,\[GothicF]
0xF7EA,\[GothicFive]
0xF7E9,\[GothicFour]
0xF6D2,\[GothicG]
0xF6D3,\[GothicH]
0xF6D4,\[GothicI]
0xF6D5,\[GothicJ]
0xF6D6,\[GothicK]
0xF6D7,\[GothicL]
0xF6D8,\[GothicM]
0xF6D9,\[GothicN]
0xF7EF,\[GothicNine]
0xF6DA,\[GothicO]
0xF7E6,\[GothicOne]
0xF6DB,\[GothicP]
0xF6DC,\[GothicQ]
0xF6DD,\[GothicR]
0xF6DE,\[GothicS]
0xF7EC,\[GothicSeven]
